city_development_index,relevent_experience,education_level,experience,last_new_job,target,training Impact
0.92,1,2.0,0.0,1.0,1,33.120000000000005
0.7759999999999999,0,2.0,0.0,5.0,0,36.471999999999994
0.624,0,2.0,0.0,0.0,0,51.792
0.789,0,2.0,0.0,0.0,1,41.028
0.767,1,2.0,0.0,4.0,0,6.136
0.764,1,2.0,0.0,1.0,1,18.336
0.92,1,2.0,0.0,1.0,0,22.080000000000002
0.762,1,2.0,0.0,5.0,1,13.716000000000001
0.92,1,2.0,0.0,1.0,1,42.32
0.92,1,2.0,0.0,5.0,0,113.16000000000001
0.624,0,2.0,0.0,0.0,1,19.968
0.92,1,2.0,0.0,1.0,0,99.36
0.913,1,2.0,0.0,3.0,0,20.999000000000002
0.624,0,4.0,0.0,0.0,0,14.975999999999999
0.624,0,2.0,0.0,0.0,0,16.224
0.926,1,2.0,0.0,5.0,0,16.668
0.92,1,2.0,0.0,0.0,0,97.52000000000001
0.624,1,2.0,0.0,2.0,0,4.368
0.624,1,2.0,0.0,0.0,1,14.352
0.8270000000000001,1,2.0,0.0,1.0,1,109.16400000000002
0.843,1,2.0,0.0,1.0,0,57.324
0.926,1,2.0,0.0,2.0,0,46.300000000000004
0.804,1,2.0,0.0,1.0,0,38.592
0.7759999999999999,1,2.0,0.0,1.0,0,50.44
0.624,1,2.0,0.0,1.0,0,8.112
0.855,0,2.0,0.0,0.0,0,18.81
0.624,1,2.0,0.0,1.0,1,92.352
0.92,1,2.0,0.0,2.0,0,66.24000000000001
0.887,1,2.0,0.0,1.0,1,7.096
0.624,1,2.0,0.0,2.0,1,42.432
0.92,1,2.0,0.0,3.0,0,36.800000000000004
0.92,1,2.0,0.0,5.0,0,129.72
0.92,0,2.0,0.0,1.0,0,22.080000000000002
0.92,1,2.0,0.0,5.0,0,75.44
0.91,1,2.0,0.0,3.0,0,131.95000000000002
0.92,1,2.0,0.0,2.0,0,189.52
0.926,0,2.0,0.0,1.0,0,140.752
0.926,1,2.0,0.0,4.0,1,38.892
0.92,0,2.0,0.0,4.0,0,46.0
0.884,0,2.0,0.0,0.0,0,93.70400000000001
0.926,1,2.0,0.0,2.0,0,12.964
0.924,1,2.0,0.0,2.0,0,33.264
0.624,1,2.0,0.0,1.0,1,69.888
0.6659999999999999,0,2.0,0.0,0.0,0,71.928
0.624,1,2.0,0.0,3.0,1,4.368
0.624,0,2.0,0.0,0.0,1,16.224
0.624,1,2.0,0.0,0.0,1,54.288
0.92,1,2.0,0.0,4.0,1,47.84
0.5579999999999999,1,2.0,0.0,5.0,1,11.159999999999998
0.923,1,2.0,0.0,1.0,0,19.383000000000003
0.5579999999999999,0,2.0,0.0,1.0,1,51.33599999999999
0.6659999999999999,1,2.0,0.0,2.0,0,67.93199999999999
0.794,0,2.0,0.0,5.0,0,20.644000000000002
0.924,1,2.0,0.0,2.0,0,6.468
0.926,0,2.0,0.0,1.0,0,39.818000000000005
0.924,1,2.0,0.0,1.0,0,41.580000000000005
0.754,1,2.0,0.0,2.0,0,39.208
0.92,1,2.0,0.0,2.0,0,17.48
0.624,1,2.0,0.0,2.1882634428913237,1,19.968
0.767,1,2.0,0.0,5.0,1,19.942
0.855,1,2.0,0.0,1.0,0,76.95
0.939,1,2.0,0.0,3.0,0,23.474999999999998
0.8270000000000001,1,2.0,0.0,1.0,0,12.405000000000001
0.887,1,2.0,0.0,5.0,0,42.576
0.55,0,2.0,3.0,2.1882634428913237,0,53.900000000000006
0.865,1,2.0,0.0,2.0,1,122.83
0.855,0,2.0,0.0,4.0,0,11.115
0.91,1,2.0,0.0,5.0,0,42.77
0.91,1,2.0,0.0,1.0,0,25.48
0.698,0,4.0,0.0,0.0,1,159.14399999999998
0.6659999999999999,1,2.0,0.0,4.0,0,14.651999999999997
0.624,0,2.0,0.0,0.0,1,11.232
0.8270000000000001,1,2.0,0.0,1.0,0,23.983
0.855,1,2.0,0.0,1.0,0,39.33
0.55,0,2.0,0.0,0.0,0,6.6000000000000005
0.92,1,2.0,0.0,2.0,0,15.64
0.893,1,2.0,0.0,2.0,0,58.045
0.92,0,2.0,0.0,1.0,0,32.2
0.855,0,2.0,0.0,3.0,0,11.969999999999999
0.92,1,2.0,0.0,1.0,0,3.68
0.92,1,2.0,0.0,5.0,0,11.040000000000001
0.92,1,2.0,0.0,2.0,0,99.36
0.92,0,2.0,0.0,1.0,0,125.12
0.92,1,2.0,0.0,1.0,0,24.84
0.7959999999999999,1,2.0,0.0,1.0,0,58.903999999999996
0.884,1,2.0,0.0,1.0,0,76.024
0.866,0,2.0,0.0,2.0,0,71.878
0.92,0,2.0,0.0,3.0,0,69.0
0.698,0,2.0,0.0,2.0,0,29.316
0.92,1,2.0,0.0,1.0,0,305.44
0.913,0,2.0,4.0,2.1882634428913237,0,127.82000000000001
0.91,0,2.0,0.0,0.0,0,165.62
0.92,0,2.0,0.0,1.0,1,11.96
0.682,1,2.0,0.0,2.0,1,117.304
0.92,1,2.0,0.0,1.0,0,44.160000000000004
0.802,1,2.0,0.0,1.0,0,26.466
0.92,0,2.0,0.0,1.0,0,130.64000000000001
0.579,0,2.0,0.0,1.0,0,19.686
0.802,1,2.0,0.0,2.0,1,11.228000000000002
0.55,1,2.0,0.0,2.0,1,14.850000000000001
0.55,1,2.0,0.0,1.0,1,13.200000000000001
0.878,0,2.0,0.0,1.0,0,131.7
0.92,1,2.0,0.0,5.0,0,18.400000000000002
0.92,1,2.0,0.0,1.0,0,128.8
0.91,1,2.0,0.0,1.0,0,47.32
0.939,1,2.0,0.0,2.0,0,150.23999999999998
0.897,1,2.0,0.0,2.0,0,2.691
0.624,1,2.0,0.0,2.0,1,1.248
0.91,1,2.0,0.0,5.0,0,25.48
0.754,1,2.0,0.0,4.0,0,34.684
0.855,1,2.0,0.0,1.0,0,179.54999999999998
0.926,1,2.0,0.0,1.0,0,33.336
0.949,0,2.0,0.0,1.0,1,151.84
0.624,1,2.0,0.0,2.0,0,63.024
0.926,1,2.0,0.0,1.0,0,42.596000000000004
0.925,1,2.0,0.0,5.0,0,17.575
0.624,1,2.0,0.0,2.0,1,16.224
0.698,1,2.0,0.0,1.0,0,62.81999999999999
0.8959999999999999,1,2.0,0.0,4.0,0,52.864
0.92,1,2.0,0.0,1.0,0,239.20000000000002
0.624,1,2.0,0.0,5.0,0,46.176
0.91,1,2.0,0.0,2.0,1,18.2
0.878,1,2.0,0.0,2.0,0,7.024
0.92,1,2.0,0.0,1.0,0,120.52000000000001
0.836,1,2.0,0.0,1.0,0,37.62
0.693,1,2.0,0.0,2.0,0,75.53699999999999
0.855,1,2.0,0.0,1.0,0,59.85
0.92,1,2.0,0.0,5.0,0,15.64
0.92,0,2.0,0.0,1.0,0,46.92
0.92,1,2.0,0.0,3.0,1,55.2
0.893,0,2.0,0.0,5.0,0,3.572
0.926,0,2.0,0.0,5.0,0,6.482
0.804,1,2.0,0.0,3.0,0,131.856
0.6659999999999999,1,2.0,0.0,4.0,0,193.14
0.804,0,2.0,0.0,0.0,0,116.58000000000001
0.92,0,2.0,0.0,2.1882634428913237,0,64.4
0.624,0,2.0,0.0,1.0,0,14.975999999999999
0.92,0,2.0,0.0,1.0,1,122.36
0.55,0,2.0,0.0,1.0,0,11.0
0.92,1,2.0,0.0,1.0,0,69.92
0.698,0,2.0,0.0,4.0,1,14.658
0.624,1,2.0,0.0,2.0,0,21.216
0.92,0,2.0,0.0,2.0,0,13.8
0.866,0,2.0,0.0,5.0,0,135.096
0.92,1,2.0,0.0,5.0,0,13.8
0.926,1,2.0,0.0,0.0,0,111.12
0.769,1,2.0,0.0,5.0,0,36.143
0.754,1,2.0,0.0,2.0,1,75.4
0.855,1,2.0,0.0,0.0,0,87.21
0.92,0,2.0,0.0,0.0,0,47.84
0.926,1,2.0,0.0,4.0,0,36.114000000000004
0.92,1,2.0,0.0,1.0,1,103.04
0.92,0,2.0,0.0,5.0,0,12.88
0.91,1,2.0,0.0,1.0,0,3.64
0.91,1,2.0,0.0,5.0,0,50.050000000000004
0.624,1,2.0,0.0,4.0,1,30.576
0.91,1,2.0,0.0,5.0,0,65.52
0.925,1,2.0,0.0,3.0,1,130.425
0.926,0,2.0,0.0,0.0,0,25.928
0.92,1,2.0,0.0,1.0,0,5.5200000000000005
0.92,1,2.0,0.0,1.0,0,115.0
0.939,1,2.0,0.0,0.0,0,306.114
0.92,1,2.0,0.0,2.0,0,30.360000000000003
0.804,0,2.0,0.0,5.0,0,32.160000000000004
0.92,1,2.0,0.0,1.0,1,182.16
0.92,1,2.0,0.0,5.0,0,50.6
0.698,0,2.0,0.0,5.0,0,22.336
0.92,1,2.0,0.0,5.0,0,10.120000000000001
0.754,1,2.0,0.0,1.0,0,30.914
0.92,1,2.0,0.0,5.0,1,80.04
0.855,1,2.0,0.0,4.0,0,97.47
0.698,1,4.0,0.0,5.0,0,23.034
0.698,1,2.0,0.0,1.0,0,10.469999999999999
0.91,0,2.0,0.0,1.0,0,7.28
0.878,1,2.0,0.0,1.0,0,19.316
0.92,1,2.0,0.0,4.0,0,11.96
0.949,1,2.0,0.0,1.0,0,233.45399999999998
0.92,1,2.0,0.0,1.0,0,20.240000000000002
0.92,1,2.0,0.0,1.0,0,74.52000000000001
0.7759999999999999,1,2.0,0.0,1.0,0,8.536
0.698,0,2.0,0.0,2.1882634428913237,1,16.752
0.92,1,2.0,0.0,1.0,0,46.0
0.924,0,2.0,0.0,0.0,0,13.860000000000001
0.939,1,2.0,0.0,5.0,0,29.108999999999998
0.926,1,2.0,0.0,0.0,0,77.784
0.897,1,2.0,0.0,1.0,0,37.674
0.624,1,2.0,0.0,5.0,1,65.52
0.92,1,2.0,0.0,5.0,0,66.24000000000001
0.789,1,2.0,0.0,5.0,1,33.138
0.698,1,2.0,0.0,1.0,0,106.09599999999999
0.92,1,2.0,0.0,1.0,0,55.2
0.624,0,2.0,0.0,0.0,0,4.992
0.91,0,2.0,0.0,3.0,1,15.47
0.923,0,2.0,0.0,1.0,0,30.459000000000003
0.91,1,2.0,0.0,0.0,0,34.58
0.92,1,2.0,0.0,2.0,0,163.76000000000002
0.92,1,2.0,0.0,1.0,0,10.120000000000001
0.893,1,2.0,0.0,0.0,0,77.691
0.802,1,2.0,0.0,0.0,0,67.36800000000001
0.884,1,2.0,0.0,2.0,0,28.288
0.887,1,2.0,0.0,1.0,1,27.497
0.624,0,2.0,0.0,1.0,0,24.336
0.775,1,2.0,0.0,1.0,0,9.3
0.624,1,2.0,0.0,1.0,0,31.2
0.903,1,2.0,0.0,1.0,1,49.665
0.55,1,2.0,0.0,2.1882634428913237,1,3.8500000000000005
0.92,1,2.0,0.0,1.0,0,95.68
0.92,1,2.0,0.0,5.0,1,82.8
0.92,1,2.0,0.0,5.0,0,7.36
0.624,0,2.0,0.0,0.0,0,63.648
0.624,1,2.0,0.0,1.0,1,126.048
0.555,1,2.0,0.0,1.0,0,12.21
0.624,0,2.0,0.0,0.0,0,26.208
