,city_development_index,relevent_experience,education_level,experience,last_new_job,target
0,0.92,1,2.0,0.0,1.0,1
1,0.7759999999999999,0,2.0,0.0,5.0,0
2,0.624,0,2.0,0.0,0.0,0
3,0.789,0,2.0,0.0,0.0,1
4,0.767,1,2.0,0.0,4.0,0
5,0.764,1,2.0,0.0,1.0,1
6,0.92,1,2.0,0.0,1.0,0
7,0.762,1,2.0,0.0,5.0,1
9,0.92,1,2.0,0.0,5.0,0
10,0.624,0,2.0,0.0,0.0,1
12,0.913,1,2.0,0.0,3.0,0
13,0.624,0,4.0,0.0,0.0,0
15,0.926,1,2.0,0.0,5.0,0
16,0.92,1,2.0,0.0,0.0,0
17,0.624,1,2.0,0.0,2.0,0
18,0.624,1,2.0,0.0,0.0,1
19,0.8270000000000001,1,2.0,0.0,1.0,1
20,0.843,1,2.0,0.0,1.0,0
21,0.926,1,2.0,0.0,2.0,0
22,0.804,1,2.0,0.0,1.0,0
23,0.7759999999999999,1,2.0,0.0,1.0,0
24,0.624,1,2.0,0.0,1.0,0
25,0.855,0,2.0,0.0,0.0,0
26,0.624,1,2.0,0.0,1.0,1
27,0.92,1,2.0,0.0,2.0,0
28,0.887,1,2.0,0.0,1.0,1
29,0.624,1,2.0,0.0,2.0,1
30,0.92,1,2.0,0.0,3.0,0
32,0.92,0,2.0,0.0,1.0,0
34,0.91,1,2.0,0.0,3.0,0
36,0.926,0,2.0,0.0,1.0,0
37,0.926,1,2.0,0.0,4.0,1
38,0.92,0,2.0,0.0,4.0,0
39,0.884,0,2.0,0.0,0.0,0
41,0.924,1,2.0,0.0,2.0,0
43,0.6659999999999999,0,2.0,0.0,0.0,0
44,0.624,1,2.0,0.0,3.0,1
47,0.92,1,2.0,0.0,4.0,1
48,0.5579999999999999,1,2.0,0.0,5.0,1
49,0.923,1,2.0,0.0,1.0,0
50,0.5579999999999999,0,2.0,0.0,1.0,1
51,0.6659999999999999,1,2.0,0.0,2.0,0
52,0.794,0,2.0,0.0,5.0,0
55,0.924,1,2.0,0.0,1.0,0
56,0.754,1,2.0,0.0,2.0,0
58,0.624,1,2.0,0.0,2.1882634428913237,1
59,0.767,1,2.0,0.0,5.0,1
60,0.855,1,2.0,0.0,1.0,0
61,0.939,1,2.0,0.0,3.0,0
62,0.8270000000000001,1,2.0,0.0,1.0,0
63,0.887,1,2.0,0.0,5.0,0
64,0.55,0,2.0,3.0,2.1882634428913237,0
65,0.865,1,2.0,0.0,2.0,1
66,0.855,0,2.0,0.0,4.0,0
67,0.91,1,2.0,0.0,5.0,0
68,0.91,1,2.0,0.0,1.0,0
69,0.698,0,4.0,0.0,0.0,1
70,0.6659999999999999,1,2.0,0.0,4.0,0
74,0.55,0,2.0,0.0,0.0,0
76,0.893,1,2.0,0.0,2.0,0
78,0.855,0,2.0,0.0,3.0,0
84,0.7959999999999999,1,2.0,0.0,1.0,0
85,0.884,1,2.0,0.0,1.0,0
86,0.866,0,2.0,0.0,2.0,0
87,0.92,0,2.0,0.0,3.0,0
88,0.698,0,2.0,0.0,2.0,0
90,0.913,0,2.0,4.0,2.1882634428913237,0
91,0.91,0,2.0,0.0,0.0,0
92,0.92,0,2.0,0.0,1.0,1
93,0.682,1,2.0,0.0,2.0,1
95,0.802,1,2.0,0.0,1.0,0
97,0.579,0,2.0,0.0,1.0,0
98,0.802,1,2.0,0.0,2.0,1
99,0.55,1,2.0,0.0,2.0,1
100,0.55,1,2.0,0.0,1.0,1
101,0.878,0,2.0,0.0,1.0,0
105,0.939,1,2.0,0.0,2.0,0
106,0.897,1,2.0,0.0,2.0,0
109,0.754,1,2.0,0.0,4.0,0
111,0.926,1,2.0,0.0,1.0,0
112,0.949,0,2.0,0.0,1.0,1
115,0.925,1,2.0,0.0,5.0,0
117,0.698,1,2.0,0.0,1.0,0
118,0.8959999999999999,1,2.0,0.0,4.0,0
120,0.624,1,2.0,0.0,5.0,0
121,0.91,1,2.0,0.0,2.0,1
122,0.878,1,2.0,0.0,2.0,0
124,0.836,1,2.0,0.0,1.0,0
125,0.693,1,2.0,0.0,2.0,0
129,0.92,1,2.0,0.0,3.0,1
130,0.893,0,2.0,0.0,5.0,0
131,0.926,0,2.0,0.0,5.0,0
132,0.804,1,2.0,0.0,3.0,0
134,0.804,0,2.0,0.0,0.0,0
135,0.92,0,2.0,0.0,2.1882634428913237,0
136,0.624,0,2.0,0.0,1.0,0
138,0.55,0,2.0,0.0,1.0,0
140,0.698,0,2.0,0.0,4.0,1
142,0.92,0,2.0,0.0,2.0,0
143,0.866,0,2.0,0.0,5.0,0
145,0.926,1,2.0,0.0,0.0,0
146,0.769,1,2.0,0.0,5.0,0
147,0.754,1,2.0,0.0,2.0,1
148,0.855,1,2.0,0.0,0.0,0
149,0.92,0,2.0,0.0,0.0,0
150,0.926,1,2.0,0.0,4.0,0
152,0.92,0,2.0,0.0,5.0,0
155,0.624,1,2.0,0.0,4.0,1
157,0.925,1,2.0,0.0,3.0,1
158,0.926,0,2.0,0.0,0.0,0
161,0.939,1,2.0,0.0,0.0,0
163,0.804,0,2.0,0.0,5.0,0
166,0.698,0,2.0,0.0,5.0,0
168,0.754,1,2.0,0.0,1.0,0
169,0.92,1,2.0,0.0,5.0,1
170,0.855,1,2.0,0.0,4.0,0
171,0.698,1,4.0,0.0,5.0,0
